Image Name,Player,ELO,Crc,Result,Opponent,Opponent ELO,Opponent Crc,Tournament,Date,1st Serve %,Aces,Double Faults,Fastest Serve,Avg 1st Serve Speed,Avg 2nd Serve Speed,Winners,Forced Errors,Unforced Errors,Net Points Won %,Break Points Won %,Total Points Won,Short Rallies Won (<5) %,Medium Rallies Won (5-8) %,Long Rallies Won (>8) %,Average Rally Length,Set Points Saved,Match Points Saved,1st Serve Won %,2nd Serve Won %,Return Points Won %,Return Winners,Breaks / Games %,,,,
image_5.PNG,Ptacek,1659 -22,4966077,6/1 6/0 6/0,JiJo,2861 +22,4966077,RG Philippe Chartier Day,02/06/2024 16:31,65%,0,1,210,189,162,14,14,32,25%,0%,31,21%,32%,31%,7.3,0,1,29%,37%,24%,1,0%,,,,
image_5.PNG,JiJo,2861 +22,4966077,6/1 6/0 6/0,Ptacek,1659 -22,4966077,RG Philippe Chartier Day,02/06/2024 16:31,66%,5,0,227,193,153,29,7,10,67%,57%,81,79%,68%,69%,7.3,0,0,74%,80%,69%,0,100%,,,,
image_6.PNG,Unicah,1873 -19,310699,6/0 6/1,JiJo,2847 +19,4966077,Madrid Manolo Santana,03/05/2024 21:20,58%,0,5,221,191,155,6,8,7,0%,0%,4,33%,33%,5%,3.3,0,0,33%,0%,24%,0,0%,,,,
image_6.PNG,JiJo,2847 +19,4966077,6/0 6/1,Unicah,1873 -19,310699,Madrid Manolo Santana,03/05/2024 21:20,68%,4,0,226,191,151,31,4,7,0%,100%,72,67%,67%,95%,3.3,0,1,73%,83%,72%,0,100%,,,,
image_7.PNG,JiJo,3023 +10,13104809,7/6(3) 6/3,Dani21,2393 -10,3104510,Laver Cup,15/10/2024 18:25,56%,3,0,213,191,151,48,9,21,0%,15%,80,53%,55%,61%,5.2,0,0,75%,75%,39%,1,33%,,,,
image_7.PNG,Dani21,2393 -10,3104510,7/6(3) 6/3,JiJo,3023 +10,13104809,Laver Cup,15/10/2024 18:25,56%,2,1,244,188,145,34,14,14,50%,33%,66,47%,45%,39%,5.2,0,0,54%,69%,25%,1,100%,,,,
image_8.PNG,Team Europe,1731 -7,4966077,6/1 6/3,JiJo,3030 +7,13104809,Laver Cup,25/10/2024 17:47,81%,0,0,222,186,155,15,11,22,0%,0%,37,40%,43%,21%,6,0,0,54%,27%,21%,1,0%,,,,
image_8.PNG,JiJo,3030 +7,13104809,6/1 6/3,Team Europe,1731 -7,4966077,Laver Cup,25/10/2024 17:47,69%,2,0,220,193,151,27,5,17,50%,57%,62,60%,57%,79%,6,0,0,86%,62%,51%,0,80%,,,,
image10.png,GOATBARBOZA,1981 +21,4966077,1/0(3) 1/0(6),Dani21,2093 -21,5860591,Hong Kong ATP 250,13/01/2024 23:35,58%,2,0,199,189,152,7,2,5,75%,0%,15,83%,40%,50%,4.5,0,0,71%,100%,42%,0,0%,,,,
image10.png,Dani21,2093 -21,5860591,1/0(3) 1/0(6),GOATBARBOZA,1981 +21,4966077,Hong Kong ATP 250,13/01/2024 23:35,58%,0,0,196,193,147,2,3,3,0%,0%,9,17%,60%,50%,4.5,0,1,57%,60%,17%,0,0%,,,,
image100.png,Katy,2044 -24,15935422,6/1 6/3,Dani21,2440 +24,3104510,Barcelona ATP 500,29/04/2024 21:50,69%,0,0,218,192,154,16,9,17,29%,0%,29,33%,29%,42%,6.7,0,1,45%,57%,18%,0,0%,,,,
image100.png,Dani21,2440 +24,3104510,6/1 6/3,Katy,2044 -24,15935422,Barcelona ATP 500,29/04/2024 21:50,64%,3,0,250,198,138,26,5,8,80%,57%,55,67%,71%,58%,6.7,0,0,80%,86%,51%,3,80%,,,,
image101.png,Squeaky,1623 -15,2170479,6/1 6/3,Dani21,2455 +15,3104510,Barcelona ATP 500,29/04/2024 23:11,77%,1,0,216,199,148,16,15,11,27%,0%,41,29%,52%,40%,8.2,0,0,59%,23%,27%,0,0%,,,,
image101.png,Dani21,2455 +15,3104510,6/1 6/3,Squeaky,1623 -15,2170479,Barcelona ATP 500,29/04/2024 23:11,70%,1,0,248,195,147,33,9,15,70%,57%,60,69%,48%,60%,8.2,0,0,71%,77%,49%,1,100%,,,,
image102.png,Vladimir,523 +17,10560073,6/4 7/6(6),benjouille,389 -17,15166552,Madrid Manolo Santana,30/04/2024 21:56,77%,19,2,222,196,163,43,8,15,25%,9%,83,54%,58%,46%,3.8,1,0,79%,79%,37%,8,20%,,,,
